latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,left,1,1,1,PCollShock,-21.62355431,-19.91103483,23.06124279,-14.57865462,1.853213409,4.446556897,-13.18835631,1.145308342,28.68678101,-52.59324467,-35.42014856,-35.14145039,-27.31567244,234.3438411,41.25264463,-44.22616902,371.5575344,73.9357889,-77.58117376,-50.28799363,-36.95757838,-71.55343662,-3.406387865,22.04619703,-76.3066526,-33.66975157,-1.061866082
4251,left,2,1,1,PCollShock,9.409595726,32.44693151,17.75379813,-41.50600989,-9.141745623,-2.066585389,-34.63684902,-40.63154981,-33.79128191,-46.24784736,-50.07400928,-56.7175894,-71.19802557,-64.73806061,-70.89132096,-68.8139144,-69.60423105,-70.06242736,-78.52000312,-68.35902701,-42.72028717,-77.75070391,-76.76760282,-59.29959653,-78.88493124,-74.23072871,-51.79483346
7251,right,3,1,1,PCollShock,47.51719082,62.13874878,46.11911754,-52.23339603,-32.48243596,-1.383605448,-47.89934755,-4.84819219,4.287615977,-26.57057282,13.96791112,-22.21862069,-75.3430188,-28.26684665,-39.92766258,-62.9874025,-3.748457846,11.89369231,-72.61383848,-56.36455477,-27.38583617,-82.66266197,-77.10413046,-18.99073928,-83.00455881,-75.97391072,-35.67815005
10251,middle,4,1,1,nPCollNoShock,-29.16411131,13.8617379,-0.258072993,-55.64966631,-28.51595238,-37.96287383,-41.84833359,-31.89193248,-40.90506571,-48.27252417,-32.99770264,-65.05752222,-70.09609583,-66.44026034,-76.2855474,-60.93956975,-64.80524902,-71.1797806,-72.59922128,-62.44712134,-44.25147462,-75.62318999,-75.58910986,-49.53664866,-74.06462494,-72.78123329,-47.01766365
13251,middle,5,1,1,nPCollNoShock,-4.794263014,43.67541286,37.21647213,4.218180513,-0.025679752,-5.763987085,54.52374165,8.711879788,47.10892587,-10.34535736,-6.762360605,-64.06581326,-53.14645644,19.51169088,-62.85326893,-39.10300627,35.78506335,-47.87823624,28.38975421,-4.637638982,4.857765128,-58.85044017,-45.47701738,-30.09065555,-75.64826808,-54.38119528,-39.72133671
16251,right,6,1,1,PCollShock,-12.66193774,-2.660627496,38.96649471,-27.35659647,-24.20356594,-18.02807909,6.747471436,0.590576023,-3.879571594,-54.75710688,-40.74623431,-28.61454222,-66.12099189,-59.42601998,-52.57633042,-43.84996527,-43.62867275,-26.96641058,-68.11013417,-67.89050025,-47.37900167,-66.90979153,-67.92547445,-36.64139337,-66.79393794,-68.44648282,-40.11632602
19251,middle,7,1,1,nPCollNoShock,-23.3713854,79.23972108,169.3308005,-5.68402286,9.705591231,13.75196633,-59.29615335,16.15913789,10.87311313,10.33072299,72.96555964,89.27135721,-43.54531561,-35.51081082,-57.9869541,-39.52400149,-35.3127453,-32.97856262,-80.11155909,-65.16854104,-28.9197064,-74.88711875,-70.37970351,-49.69911595,-80.50837071,-65.60770639,-31.31987451
22251,left,8,1,1,PCollShock,-29.18453866,-35.75029874,-5.167716001,-31.67265379,-20.14177642,-27.24498127,-39.17989091,-33.08650182,-6.279862812,-35.98778028,-36.10600041,-16.53090233,-52.321185,-64.57853696,-59.6489452,-64.48866258,-67.65488688,-57.2435124,-78.39677213,-71.48953739,-40.86528531,-71.68282774,-74.65067553,-53.84859382,-78.02976539,-65.94716718,-46.67978593
25251,middle,9,1,1,nPCollNoShock,-38.73955897,-5.284174952,32.39797627,-27.44794435,29.36576365,30.86780725,1.004155981,55.10602826,84.79404455,-46.91914827,-31.88979469,-12.6355071,-61.24396066,-39.95604915,-60.52961004,-28.11818643,-16.08596848,-39.93360241,-56.98335715,-56.48810071,-50.80534776,-63.43658631,-33.60966862,-35.39117629,-71.5247069,-52.16495421,-31.73965025
28251,right,10,1,1,PCollShock,40.08443534,15.48289232,73.35400077,-2.569488846,5.594641857,21.37822816,-0.445248988,-28.6748027,38.93599813,-11.79348573,-1.867603883,56.80665759,-42.74348237,-30.77123721,-28.40828495,-40.48581122,-39.71098296,-6.74544963,-50.58018421,-30.17441316,18.1807315,-62.14114378,-47.64457494,-30.50133671,-50.14436695,-11.67041403,-5.294252979
