latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,middle,1,1,1,nPCollNoShock,-22.73754535,-30.43690021,-29.33000632,-11.85767534,112.6952603,-28.93197595,1.047640608,-1.921572806,-28.15905464,-18.97708563,-19.21552914,9.871288542,-24.01987562,194.7205342,9.478408459,-4.826687288,23.19039921,-3.699289729,-50.56839155,-15.16853528,66.99161619,-37.08203338,28.63355761,75.91914882,-39.81918882,-17.89041239,32.77441901
4251,right,2,1,1,PCollShock,4.890029053,-3.963551299,-45.93304928,-12.35897733,-38.37875493,-16.75785046,-0.061542611,46.79240622,17.67664933,-44.80745284,-62.7214501,-63.69157679,-52.47710029,-60.86384598,-57.49692713,-14.19363055,-44.63229879,-24.08340741,-47.79705995,-35.92550851,4.730521796,-56.62749108,-37.35370537,-3.601540359,-48.56044816,-39.78135955,-14.42846119
7251,left,3,1,1,PCollShock,-54.86921763,-46.0629981,-10.75671273,-33.45394432,-23.34382368,-48.35421142,-29.00519661,-0.21517424,-27.36798228,-27.96862363,-18.59626269,-41.47041638,-44.07721325,-41.95065379,-51.12492357,-26.61199563,-55.27506924,-52.50808739,-38.8364357,-12.81814263,12.86116033,-39.83973174,-41.15825252,17.41366793,-21.77190613,-50.54242118,9.288301336
10251,right,4,1,1,PCollShock,21.83113854,-7.574213841,-35.38087172,-15.5225313,-36.5157216,-30.10974241,-19.00357498,-31.28813778,-32.90426566,-30.99613901,-44.88346535,-59.98703288,-22.6044188,-52.83800206,-59.96249165,6.455087478,-49.56744685,-48.43867693,-29.81702874,22.75106175,9.479695062,-30.54815593,-37.85565042,-10.12005782,-8.880702551,-53.33141585,-8.850183163
13251,middle,5,1,1,nPCollNoShock,51.73012462,49.28293098,14.79779722,42.01584252,6.904475839,-10.40459855,-2.225803889,-21.88679463,-22.57262943,-12.12511728,-53.00292606,-49.49311456,-30.6847654,-46.83631248,-51.55100972,-6.951516551,-46.79187555,-51.18208662,-44.94241178,-57.87836878,-17.0937591,-30.22018105,-55.32885942,-13.0438785,-31.91419325,-50.61313516,-15.25330151
16251,left,6,1,1,PCollShock,67.22795915,19.54651092,-8.828466299,26.16569539,-0.431499484,-25.69415702,-4.541923863,-18.40561757,-26.51911015,68.56370507,22.30055693,-11.59167985,-3.927144833,-18.8980747,-39.48052858,-23.18228296,-14.8935179,-30.5343466,-8.454848044,-18.42196713,3.286890006,-35.89177247,-53.82356211,-4.595871433,-28.38556252,-48.44628446,4.552778684
19251,middle,7,1,1,nPCollNoShock,558.7031329,197.35064,19.01811076,3.44506513,-19.55575935,-12.77239179,-21.68815763,-26.48602651,-16.18059658,285.1810139,70.1910829,-20.91325346,-2.603378605,-54.18586188,-39.65884709,-13.01190136,10.76808925,-21.68229452,-0.334878504,7.219180953,11.60880465,-31.55340013,-37.85281789,-11.658328,0.689944965,-4.304530222,-0.02884179
22251,right,8,1,1,PCollShock,309.0512152,9.729984549,19.00066242,332.8156313,-13.52268354,-13.18408151,26.58036344,0.877987841,17.55052598,36.84358147,-40.07114207,-40.67856152,49.86719775,-39.55876398,-50.8600459,-1.458874352,-38.99120367,-22.37137304,-23.51334099,-44.55057096,-26.16871091,-18.12097939,-41.99038371,-11.55479758,-29.0456625,-47.01574462,10.70765199
25251,right,9,1,1,PCollShock,65.24711978,47.80373728,15.60643527,-26.28539415,-21.44814791,-36.92849666,0.146148424,-16.25941815,-9.653763938,81.63149926,30.07412884,-33.84050527,19.86406884,-45.58664387,-48.16115559,72.01616706,-24.8854834,0.082246899,-16.92804212,-24.47210842,-15.00645276,-13.06761512,-44.7426781,-20.76658296,-29.50868323,-35.08313984,-12.97494435
28251,middle,10,1,1,nPCollNoShock,-26.64539088,-16.2146659,-38.84290838,-41.34322209,-1.951047061,-29.17342321,-55.05235607,-37.5459834,-50.39866072,11.33242242,-14.53353232,-46.52609351,-11.63823919,-22.1150821,-35.99107414,-35.5407614,-43.66452751,-47.83278452,-39.29970657,-34.00168364,-32.80230205,-39.36805131,-36.72720417,-23.30094219,-33.66358214,-38.63143314,-22.00905927
31251,left,11,1,1,PCollShock,178.5590116,43.79379117,40.08206131,-16.40716543,-35.62913686,-40.20772979,-61.46841882,-49.11529812,-47.06062224,69.64860119,-22.38971664,-33.13394553,-24.4429804,-51.86605714,-57.84652754,-33.45531168,-41.14553633,-26.93067507,-6.91259571,-46.98195055,-20.52250514,-38.35217754,-65.28522712,-37.05138576,-49.867302,-52.49364537,-29.02427636
34251,left,12,1,1,PCollShock,88.43680576,-7.780764622,-13.5478919,-12.50962339,-40.84617456,-41.14669345,76.58950646,1.894543163,-31.44712809,9.567499179,-6.981459308,-53.74656789,-9.102675959,-20.88185934,-32.0191858,90.75397451,-8.3877222,-32.63555822,-1.395076054,-26.34639104,-8.143912597,-35.57148621,-17.0532927,-4.667734726,-40.7733612,-33.38514032,-15.5483105
37251,left,13,1,1,PCollShock,-3.161484397,24.1768684,-17.60422244,-12.95438399,-21.332306,-14.46495246,53.07782928,-6.380413849,-4.344001169,-5.939705852,-41.32895666,-65.64806768,-13.03480382,-21.79427685,-45.16660793,12.86250878,-20.74145623,-39.89688869,-45.51107005,-57.62456695,-10.15243662,-22.09399223,-36.16097427,-10.31920773,0.913731784,-29.61103198,-18.46186875
40251,right,14,1,1,PCollShock,48.02267888,5.113434421,5.867712687,115.7081054,9.178211088,24.93423243,44.506201,-13.74360645,-11.83218207,46.89521014,-0.183176187,-29.78709556,93.08630846,20.03554353,39.42678947,1.796196262,-44.47919225,-7.976090036,-19.55963434,-26.62919282,0.663715048,18.80483558,33.98352577,24.61185594,-13.19456535,-35.01510783,2.898678777
43251,left,15,1,1,PCollShock,12.45222673,32.87855556,14.77375113,102.4094295,16.90195289,-23.99877068,42.19587394,4.157793939,-19.46253935,27.42547624,-9.277395024,-37.67079154,86.42694517,13.00290981,-36.85316097,13.85196811,-29.73600596,12.41068006,-18.03491183,-33.64743666,-22.21724622,2.746947415,-15.82094485,-21.42841099,-25.47124285,-51.87921449,-13.45930999
46251,right,16,1,1,PCollNoShock,6.420757686,-2.302727914,9.648826193,738.6044781,91.97842848,49.64932988,159.0223004,7.941328547,-18.42501579,37.63163908,8.62749493,-2.490209088,514.5743474,52.46909288,18.98512271,30.03347629,-7.905084136,-34.40801298,-15.9679662,14.04800722,-3.050960649,34.62318092,59.05114192,8.482371748,-25.85839704,-22.1665295,-14.57392891
49251,middle,17,1,1,nPCollNoShock,3.130348613,61.33816233,-15.87695305,-54.2571995,-44.78620277,-53.01014185,-2.990736408,-20.68081533,-20.28384037,3.883570325,37.12898833,-29.26235325,-52.28498805,-43.05474123,-42.76172965,3.950882748,-19.78683009,0.303168154,-39.15149429,-32.9413664,-32.03311636,-31.29064352,-23.21747361,-19.50947366,-24.32932365,-23.61373143,-10.06507977
52251,middle,18,1,1,nPCollNoShock,42.75811831,11.38224205,5.197393567,110.7567481,14.50050519,-13.63918389,-43.0725399,-30.17574832,-31.33892344,21.38834461,-19.35927778,-27.19050025,22.15313278,-15.60586712,-43.64977293,-34.75085713,-53.94780706,-15.8901198,-27.68144049,-38.34664531,-23.87359816,-4.07579086,-31.47803947,-18.69035473,-37.90670961,-38.54641148,-1.764012696
55251,left,19,1,1,PCollShock,34.32564493,-17.25987011,-29.67137963,194.7302468,44.55731769,-17.95236238,18.83591707,-27.34446832,-14.1654758,38.78906732,-13.92575009,-38.69556375,69.53309564,24.31188618,-2.797277232,24.18345939,-15.65755973,26.42978172,-14.88589296,-35.97313169,-24.45236116,-21.64635846,-24.50560773,1.391687536,-25.43230266,-44.36595577,-2.183421017
