latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,left,1,1,1,PCollNoShock,17.12533865,61.78216769,17.91406804,-46.81652257,17.29943841,23.33823316,-44.18931349,-43.47066469,-13.83508415,-27.14932499,-42.31016878,-67.88397981,-35.10381267,-47.90378074,-74.55464172,-23.48146049,-56.36715614,-75.50271039,-13.66523911,37.28578802,-18.53899167,-16.82443163,26.92070619,-8.220942116,-8.776119196,0.169908773,-8.930591533
4251,right,2,1,1,PCollShock,4.060665642,24.01966599,-33.08222878,29.08498381,-19.75814995,-28.36129982,-34.10750208,-29.03088433,-32.88976575,-51.70206835,-68.62430665,-86.27455099,-45.56782703,-53.21528806,-70.75815543,-50.24625517,-35.97687777,-62.80613197,-36.30242356,-34.34000649,-35.99511769,-31.0301102,-7.70292552,8.233254292,-14.69827574,-13.41849587,6.283254535
7251,middle,3,1,1,nPCollNoShock,-12.7445609,-22.57580053,-45.45288744,-16.69306864,-30.44053568,-37.98777626,-42.37914554,-29.65662852,-34.6390155,-55.33150081,-71.97052595,-76.56630976,-41.89220516,-72.63947454,-79.73052203,-58.36360579,-75.05339825,-75.07180131,-48.1943021,-60.52374812,-51.85347325,-39.87160154,-42.96821802,-27.0117354,-35.18936774,-53.5052217,-31.25347317
10251,right,4,1,1,PCollNoShock,-24.18821112,-21.90583921,-22.534297,-27.13801019,-24.05845797,-32.44578522,-24.499959,-28.13708149,-27.97509081,-42.05436248,-46.53860297,-48.68872426,-56.51423358,-58.73070448,-80.582275,-54.1864153,-61.29886396,-74.14764018,-24.3625413,-29.432539,-30.3230288,-22.64061437,-42.36115191,-28.70155806,-34.50312715,-37.33832785,-8.406924562
13251,left,5,1,1,PCollShock,-41.93953259,-40.39770544,1.633203754,-27.01171152,-9.084559006,-1.491293971,14.26594766,-18.40945363,-8.284128941,-71.06997551,-80.24238657,-82.91586763,-61.70396759,-57.30371516,-68.07103143,-45.61144976,-62.30710802,-62.59752036,-39.66174799,-54.90017541,-44.31869623,-39.5937048,-46.79666654,-29.1037082,-38.58435869,-49.35300903,-28.40149338
16251,middle,6,1,1,nPCollNoShock,-43.67745631,-48.7238335,-21.56646634,-35.19277254,-46.3986148,-29.85981158,0.178267888,-34.92789352,-27.59247368,-55.83514382,-48.47002038,-73.70305474,-43.08209657,-58.32985782,-64.00833926,-61.44553127,-78.70382526,-85.14518224,-23.01613531,49.07498436,-20.46266493,-39.0263814,-34.13253419,-20.07644971,-50.58264833,-45.57696437,0.708860021
19251,middle,7,1,1,nPCollNoShock,-34.18272763,-41.27177503,-11.2955908,-3.961797672,-21.93322677,-18.83197533,47.32855057,-23.7790123,7.0148258,-48.35745266,-83.6083962,-83.22793522,-59.20737539,-67.76623317,-80.66743625,-42.5425679,-70.3823801,-51.53899186,-42.52547658,-51.76044214,-24.11161582,-49.47900968,-49.37384314,12.06899938,-59.34919519,-40.09731787,73.63785744
22251,right,8,1,1,PCollShock,16.99699631,29.14175439,32.6377662,-23.53627505,-22.57754364,-14.88541655,-53.76996416,-33.38211817,-15.45301325,-38.63106571,-51.50537384,-69.67442264,-58.45035892,-70.05950588,-78.06131043,-30.41973853,-47.92219096,-47.67170912,-44.06860331,-40.39320073,-19.0085197,-35.22082677,-40.8795952,39.23322442,-24.27775642,-24.35385516,35.21273459
25251,left,9,1,1,PCollShock,34.38335979,41.91125948,47.90121486,-22.2962288,8.040200977,-4.75509598,-19.31207632,-44.5675107,-24.56690815,-44.11132299,-57.51351122,-59.89511524,-46.63511503,-55.90469296,-61.59381517,-34.32314499,-62.36626376,-73.79131466,-38.64014009,-35.63077493,-10.02977652,-13.3424118,-30.42378983,4.389845807,-36.67526656,-46.68830424,-11.4768116
28251,right,10,1,1,PCollShock,-17.44426308,-5.815236968,15.03508955,-6.085331126,-16.7747885,-15.85925545,-36.71209327,-13.34475249,41.3007448,-52.29789856,-58.4153752,-64.64930633,-21.70979548,-44.39669793,-50.69769167,-18.96726275,6.207823148,47.61537687,16.46226424,-20.1941584,3.594618716,-42.941864,-46.70701456,7.53650147,-26.40580052,-31.6424993,51.7659126
31251,left,11,1,1,PCollShock,-15.98437205,17.24073459,35.97389846,4.835256248,-4.897884299,7.418466871,1.48713297,0.937894133,10.28219136,-43.51709714,-11.05997839,-39.83256634,-55.87402295,-27.54879419,-25.81966035,-40.38647865,-39.37852199,-42.49090175,-16.47609496,-32.84113487,-25.0117789,-40.38944528,-43.92083724,-0.392219941,-51.31156951,-47.63575861,-0.295312524
34251,middle,12,1,1,nPCollNoShock,-7.094837637,27.6637959,21.22127095,-12.10911762,-2.427879298,-36.57080488,-1.170745341,6.599628267,-35.65344969,-62.3391298,-53.26892245,-57.04754508,-30.53651844,-49.9726313,-69.30800635,-61.69069982,-60.03053087,-58.74481611,-27.30211262,-31.05959299,-12.05823543,-50.9180891,-38.83410796,-10.48551093,-50.92375126,-47.57305389,-24.24998771
37251,right,13,1,1,PCollShock,44.31123737,19.23659966,16.65728216,-3.969568298,-14.40328186,-21.44176866,-35.76871544,-29.90052142,-32.49105698,48.2996664,-56.57815847,-64.62967178,-49.89280742,-63.02495861,-81.74662579,-60.00436809,-75.27081995,-87.04396338,-34.24845387,-38.84250747,-13.44706783,-39.34511017,-39.80813372,-21.56532202,-41.92446345,-49.19325328,-36.06353925
40251,left,14,1,1,PCollNoShock,-56.17410677,-15.53587443,9.414283603,-40.32626226,-27.76384589,-31.93024711,-8.751158708,18.41268766,-15.05144598,32.62064865,33.36263796,13.40236782,-32.83712811,-36.64726566,-53.74191789,-21.47088465,-43.93029675,-46.06261503,-56.4198281,-29.3218905,-8.24286597,-50.37463789,-48.40338908,-9.004214957,-51.28576996,-29.43170145,-18.37502671
43251,right,15,1,1,PCollShock,-4.466828299,53.5303014,99.89920792,1.102000074,11.33778744,-18.97244183,87.63811339,37.39615487,-17.22772172,3.030116359,19.71332479,-10.16995752,17.9259016,-10.6084835,-55.29435061,16.37335532,-0.762344264,-40.18324104,2.324557243,7.470977912,-15.49202799,-6.09226559,-16.56651693,-31.67861195,5.323715281,-26.14430642,-28.99654997
46251,middle,16,1,1,nPCollNoShock,-8.089118519,-13.36793826,-14.42734959,9.736882954,49.97377862,-22.99171452,-41.22597834,34.31006801,19.90907266,-32.89562168,-36.11840702,-70.98492298,33.18364691,-5.768372139,-47.70196253,76.97369292,69.72666384,105.9539022,-33.20585536,-11.45059587,-40.49741176,-18.6264069,41.10829712,4.056966954,-44.81397017,-2.896503306,18.59782838
49251,middle,17,1,1,nPCollNoShock,491.9870658,-7.171059897,-40.60043588,249.0829439,-0.599939832,-13.76372504,42.7652366,-1.598224053,-10.41922047,44.68934429,-8.196841115,-48.25261966,-5.254743972,-43.10779781,-52.1654708,-44.39821024,-51.71443173,-57.18580715,-15.97466371,-2.908307784,0.614136015,35.11468374,0.330625088,23.52396895,20.37059411,20.31917412,5.238863413
52251,left,18,1,1,PCollNoShock,69.50026405,71.508649,92.53168647,41.58485867,6.181747664,-9.52926175,-26.33099453,3.750019839,-18.71398114,21.48329161,53.75012912,-12.53317139,8.621934478,33.68466656,-46.39361277,-46.48954001,-51.81861623,-74.81349437,-26.65152578,5.784325486,-16.85894142,-29.13364233,-18.06659806,10.51405386,-23.61401724,-28.02838413,-27.83496439
