latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,right,1,1,1,PCollShock,83.77515875,-6.157772489,18.57939448,23.6207606,-5.772621031,-43.32838702,-8.726821623,-22.27053846,-42.40085144,66.29625096,-28.7645998,2.533162344,-16.13802024,-23.87072521,-37.36679229,-19.93935966,-32.90935445,-40.85701504,0.166422119,-47.12405837,-4.018101862,18.57221404,-26.60161641,0.529031954,0.716771018,-45.54537064,-5.697707456
4251,right,2,1,1,PCollNoShock,86.37317998,39.88851901,16.38554716,32.74114748,-16.57445551,-22.82688758,-8.903302388,-3.646254683,-21.18318761,32.77699338,-2.98508586,-16.32484391,20.99175092,-26.90186174,-26.0068009,19.72473992,-3.914433347,-8.713219578,-23.49747963,-65.20742603,-27.89953109,13.92361316,-55.15222806,-22.17756062,18.84321715,-53.78956126,-21.26114083
7251,left,3,1,1,PCollNoShock,42.29612393,-17.96969811,-23.04150414,-7.08434354,-29.86595195,-44.25004599,10.15211881,2.943002994,-6.323427292,-6.3995623,-22.69435438,-23.62202297,-20.46417606,-32.38733405,-32.8866292,-7.880703088,22.89560684,19.74688394,-23.98420134,-56.31892491,-38.93851778,-19.85569469,-61.41115513,-16.2559221,-13.15904757,-62.18785822,-18.9366594
10251,middle,4,1,1,nPCollNoShock,102.0696956,-5.242231531,11.2303313,-24.67241228,-44.91811582,-30.9308458,-20.6772434,-6.229816378,7.469546384,24.9375191,-23.24038142,-1.432947684,-30.32216781,-14.6279535,-23.72692016,6.907020295,30.96608784,-3.808770528,-32.0687504,-63.18850582,-27.68820516,-34.66399458,-56.73018297,-37.33334514,-15.07794718,-58.71895907,-29.86641961
13251,left,5,1,1,PCollShock,15.94075682,7.010113983,19.09524465,32.48549772,9.185292327,-16.60695367,51.51691981,40.09388214,-7.352163998,52.98649948,-27.41390877,25.87242245,-6.447401144,-25.05216543,-25.84728246,17.50526911,-7.5102639,-25.70856383,-28.589418,-56.54979508,-1.966471181,-24.1825069,-61.49241873,-19.54647631,-31.62847118,-57.34763584,-18.01762005
16251,middle,6,1,1,nPCollNoShock,46.22547191,14.85386464,14.86145974,35.08363091,30.41256035,-28.8086715,31.41412755,-1.972682735,-43.86225208,-8.310780931,-10.55720383,-32.21619996,-8.7123077,-20.53960995,-39.76132858,-28.92611044,-28.48551889,-39.84989023,12.50636093,-63.87941167,-37.76895988,10.34734627,-70.01337285,-39.89208787,-5.680096596,-65.28320061,-50.68740648
19251,right,7,1,1,PCollShock,82.89213698,125.7310213,83.49704611,14.45904158,-1.952453488,-18.28465117,-13.80954202,1.45271481,18.473605,97.66947337,39.51486636,58.10252091,-6.727448348,-15.06766337,-39.51503957,16.32947318,-13.90180306,-26.82734226,-16.01743131,-53.24522748,-20.52571785,-31.24708996,-67.40993564,-34.87317733,-15.69054401,-62.9634727,-29.42806013
0,middle,8,1,1,nPCollNoShock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22251,right,9,1,1,PCollShock,27.88045953,16.33146113,25.39963392,13.17417062,-13.53921145,-19.33971388,9.546840364,0.849831254,21.01181588,59.98013123,-16.00736028,-1.573679786,13.92481604,-22.56043751,-28.59894817,4.935461605,-2.812918217,21.45116376,-22.66586119,-56.09189432,-36.28493317,-25.7060203,-61.69763243,-42.26021795,-7.806786817,-50.59721854,-36.27673154
25251,left,10,1,1,PCollShock,136.4461841,102.0467891,24.62724053,37.52069198,8.682671908,-15.40070831,27.02449574,22.33270153,50.25804313,45.23724708,8.359531374,18.42299873,-0.591431648,-31.48630543,-18.67496901,66.33232977,39.40685985,134.3909039,-34.45903999,-45.24033855,-38.06303627,-8.143767613,-60.6910936,-29.48204862,-11.82646696,-52.47500537,-3.981043256
