latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,right,1,1,1,PCollNoShock,49.5565988528508,71.1166115249622,7.93275217412718,-10.3117755759858,1.60718642519922,-24.7624186504388,-36.7936970111453,-6.8708062461994,-15.620953356196,66.9382603386226,70.3180733522024,-3.42655794257616,49.6015571203504,64.7217864007592,0.131131536586641,-9.52503768967066,-10.3532755625418,-45.3378659823349,20.8218443157505,99.6573854708415,11.9979859905967,-7.44786347456716,43.2314300671623,7.72512122038222,-28.9642829105056,-16.1943873041599,-19.0506168653391
4251,left,2,1,1,PCollNoShock,39.0158507315304,129.289473479852,96.4206957555628,-35.1568458102841,37.8902045959082,18.3232772799402,-34.3155731936975,-10.2388382833113,-45.3025883932643,122.74045489547,167.210033300951,129.55338933997,16.5245703057563,10.6161005054267,-33.6299418211716,-31.9810950644097,-29.4233862932416,-52.2574168892786,-39.7712540507615,-5.13231437483097,-12.2673434173028,-30.9036037193543,-46.2501230337898,-51.4002773241212,-39.616035495794,-34.9199516360992,-47.3510972960316
7251,right,3,1,1,PCollShock,4.46018936974377,85.4937176213353,31.462971724469,-25.7772351399855,-3.83677204515266,-21.4429754520162,5.83937648207133,19.951864785883,-0.614380526898578,7.08114707199185,21.6354596574724,8.30815988476486,-14.8521625428357,-14.34201407564,-36.9935719994816,29.9405681993557,8.59905406046311,-25.0075595250472,-19.7345082329729,-16.6056257323974,-37.0241125977052,-34.1427937101537,-14.8516896111765,-43.1650870892058,-37.766303200844,-32.9036107723729,-42.7015554668704
10251,left,4,1,1,PCollShock,49.3515429637206,43.1379492471821,43.5032865358168,-41.9512872268373,-8.87953718656784,-24.1982305495956,-55.6790872967059,-5.86329215661681,-11.4869776310202,67.4475693621646,8.50801840074064,31.8560928486592,-19.497439802846,-26.9899051069519,-26.8234828599202,-21.9225991402952,-13.8234342543494,0.919056759248664,-11.5536723234723,9.90576332054215,271.134146362379,-5.89728749884015,7.54142289376345,194.833745620692,-14.5313644799116,8.55533033782025,155.765629219128
13251,middle,5,1,1,nPCollNoShock,-56.4058129184029,11.928444342551,26.1383487799609,-64.5093667275013,-17.2956774563283,-14.3542469095753,-63.2426929200704,-31.5507153850562,-20.6643209220511,-23.2717003479117,13.4837144713614,39.8602690311925,-36.1096303952131,-22.0792194259615,-6.78624681657312,-38.9054499900104,-11.6299926484559,-22.0696761705324,11.0995641483038,44.1016814365888,189.465265279871,7.01809821320457,27.5697225188127,231.084935907227,8.20283569969594,15.7652554754719,204.329417922961
16251,middle,6,1,1,nPCollNoShock,-1.03261452225644,43.5917577162518,24.7705126980477,-9.13559601685066,1.42344378329728,-10.5049789795432,-32.9685516203407,-12.2315248973458,-6.60488101343172,59.8430099105482,46.8761794335986,9.31704745609203,17.7654750735187,4.25456288674202,-7.41093904710949,-7.85651853958335,-29.9253015884025,7.94684640571413,23.7738695399286,18.8226549674462,142.238838897416,37.0127843723423,14.4799215800814,165.011824432827,24.4283923894533,-12.5180306310862,82.3791486132463
19251,right,7,1,1,PCollShock,-30.6352888423122,55.2468411022141,26.8648211299181,-14.1890505526698,-2.34364114895701,-3.52359425725779,-26.821948611299,81.6208631438053,24.4047537189765,-24.6100383979653,154.344478182935,126.301766995462,-10.5075915194654,59.9141247719282,19.9567862900737,33.5994861181214,56.1061939586326,31.682236780229,59.5117538301821,66.3885286821664,186.976592371623,6.86405783448032,12.2226294489166,152.48896137279,-9.96054119906137,7.86204782725618,177.684184749277
22251,right,8,1,1,PCollShock,-24.461709919775,0.501405859933365,1.25399351125111,-25.1657590134222,-4.31352232382145,20.9955872007932,-45.6175989989941,20.4789876382943,24.1732175911174,-11.264252182296,12.6610163505053,7.21643830119426,-12.7405466457637,5.82656768502976,-6.43667115688669,-10.9162064070403,-2.42982042929308,-7.52077649105773,15.9269967497436,34.1903972564372,263.485003170649,-5.75409238880242,24.562812803371,263.245450454445,-1.96966056661641,-3.14766650035404,207.940862903674
25251,left,9,1,1,PCollShock,-51.2212312796133,-3.8612304904122,-2.07362833161501,-43.5452812916687,4.67822988958556,-27.1902959032,-29.2511099341512,7.83439955294291,-41.1649622597055,-5.15375095469991,-28.4115404804535,-25.0918040206191,-4.87656227693823,-13.9017658968944,-16.6152812864763,-10.4625072775193,-27.5263602104873,-19.7312275004654,0.333657943917551,-8.7525899452255,70.5695324117308,31.6956442007609,1.36251276226666,92.6391084105126,57.707924039871,19.9167665530447,141.652303742582
28251,left,10,1,1,PCollShock,10.3464782485239,17.682353764138,8.94500943527207,-45.0478661417407,-15.7116623552262,-13.6155508108143,-44.0036910997006,-20.6477406212997,-35.8234541477465,-26.0498044870711,-20.514613786128,-32.7404587587237,-23.8072202424508,-27.8195049494016,-39.0815469416054,-29.3725364230397,-39.623242797409,-41.6408115857573,9.99358531551247,19.3664827266497,129.228533540011,6.57738326739619,2.59641911427433,138.814776613625,20.9802715384708,13.5438386152263,117.846366081456
