latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,right,1,1,1,PCollNoShock,-14.38416117,3.786391932,-4.656004236,53.96459156,15.3017037,-18.97372305,-62.77304991,-20.29505606,-51.15490768,-12.66330982,-29.84812319,-49.36586591,20.57423588,4.694080702,-41.12888963,-53.93305993,-23.95707032,-65.24634299,12.71059663,16.38002798,101.1371175,-20.16794313,15.55695542,53.29231277,-26.67526355,26.79800021,57.39005186
4251,middle,2,1,1,nPCollNoShock,9.182977884,143.2341583,-4.956626649,4.479063687,-18.024528,-50.12347928,38.6805206,-24.1174425,-26.90164378,-1.382029707,-11.42866015,-57.86377018,-32.65609648,-57.76510581,-77.66228441,-12.45553449,-55.31700253,-63.79421667,-22.03771423,30.53706289,26.64601072,-43.56539076,-19.95603923,12.49301914,-31.57303554,-19.25179212,3.26505757
7251,left,3,1,1,PCollShock,-29.12491001,7.769644421,36.81179786,-31.92234313,-27.00157473,-29.96164168,-63.88717955,7.083179742,-27.57236466,-44.05853674,-36.25982719,-52.72112151,-41.92823013,-70.06948869,-83.3228641,-63.97728113,-73.90428926,-85.68185156,-50.16419678,-20.33404025,-2.442802997,-20.55790742,-12.74305003,5.706221312,-28.90394743,-1.983009511,-1.091729044
10251,right,4,1,1,PCollShock,1.797161519,109.5652237,39.67129867,49.59523711,22.45634082,-52.6999828,-38.82987255,-12.84098283,-58.96105292,-9.073960563,-27.71119291,-47.31643772,9.442613024,-30.8323156,-82.24099299,-38.01072454,-46.97110215,-82.22095031,-38.84222582,-0.159763475,30.87746905,-68.13153244,-50.36718331,-26.51574185,-61.54777052,-51.13267271,-29.99060387
13251,left,5,1,1,PCollShock,-40.29898933,49.79059719,-20.26660751,-43.1823611,-17.05077127,-32.79636416,-31.89277573,-19.14025365,-1.604520655,-54.9799813,-52.91974785,-77.70906713,-64.25145126,-72.88531848,-85.80030693,-50.02946992,-67.99109599,-76.72746171,-22.98645009,-38.70642057,7.607344221,-57.85820073,-53.02066371,-17.64179399,-42.9609797,-41.96552266,-0.582620281
16251,middle,6,1,1,nPCollNoShock,-43.63491278,7.052116945,-23.72834792,-24.38274728,20.9877166,-33.63448215,17.13484032,43.79046472,-12.3244062,-48.21648825,-56.08294253,-78.71054506,-37.72330292,-51.20798318,-79.07865092,-33.04127747,-57.51554567,-76.14033837,-56.50467682,-58.81970334,-27.39008218,-56.75620335,-53.24564973,-8.30838891,-41.95267757,-40.01343774,-27.54053814
19251,left,7,1,1,PCollShock,-48.55287052,61.26295551,24.65641007,18.9022311,19.09402167,-39.24593768,-56.90700647,8.870766,-26.21886386,-37.27259163,-23.31815253,-47.35846963,-35.72465601,-56.72920774,-78.75754091,-60.05643663,-64.87178146,-79.81255018,-29.85503889,-9.081874895,19.30639855,-34.53162183,-40.76124008,-8.011297828,-44.25079488,-40.18885787,-10.9564416
22251,middle,8,1,1,nPCollNoShock,-30.50993849,-6.413485213,-29.86623308,47.19183492,2.116106716,-34.1287994,-43.81890895,-16.23015327,-49.10780279,-6.038780687,-8.699140121,-20.82083242,-19.50030262,-59.04010295,-64.47885444,-52.74682049,-64.65418788,-75.27440454,-27.48531811,-4.885114489,27.94902884,-38.10691916,-18.69732304,-14.66361135,-36.72878386,-4.755972194,-23.35408705
25251,left,9,1,1,PCollShock,-35.23972343,13.14974723,-4.249283884,-62.32145056,6.825914468,-30.36690917,-60.59737325,-22.50652507,-38.29739859,-16.72397735,34.42143184,-18.10464231,-48.63884909,-50.34028891,-79.13783444,-34.71290021,-52.75053625,-63.47293061,-27.18792875,-26.26587688,-11.59905423,-49.12168514,-36.30917972,-32.41064565,-55.50663651,-38.58076892,-18.45463527
28251,right,10,1,1,PCollShock,-19.95128299,-7.030938721,-43.90416823,-35.77663067,-34.82898781,-61.9882439,-63.156744,-46.55458394,-57.08973966,-8.820510885,-56.48594651,-67.33310922,-45.59994341,-65.79830305,-80.25188805,-56.11417548,-27.7892644,-42.23578765,-29.82335096,-30.3794592,-35.93972247,-48.64301877,-56.34056334,-48.06273919,-74.02731053,-52.73306654,-16.00872073
31251,right,11,1,1,PCollNoShock,63.73534447,30.7769169,6.394361173,-75.34657518,-37.75635539,-52.35393461,-74.68500961,-33.91614567,-35.60730862,7.697277041,-41.99415974,-24.9433066,-61.48217301,-70.06405606,-80.77394969,-60.64741318,-61.92300353,-71.84927084,39.21246201,-12.27153441,0.046721732,-29.51282173,-30.28750659,-28.35366221,-48.78124751,-10.56469755,-27.97743307
