latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,left,1,1,1,PCollNoShock,38.61423946,3.834677811,21.39074156,-11.11560186,-4.47265181,-16.22107135,-33.94180271,-13.57858855,-15.374241,-40.69073292,-69.4686609,-58.41726264,-28.10302954,-62.80411054,-69.60680656,-14.71508816,-62.38644772,-69.58585065,-8.160336563,-37.30356701,16.46586673,-3.856819936,-15.30178318,12.66985777,47.21200073,-29.396213,-4.866098729
4251,right,2,1,1,PCollShock,42.65740433,56.31239353,28.22747891,-28.17164817,21.64733284,-3.703606649,-46.60872966,-38.19228488,-50.8999362,-37.03960628,-19.21215408,-58.8381564,-52.66734312,-59.29163415,-67.54035136,-47.40544333,-71.17797566,-75.83372828,-11.22572328,13.61083792,-15.63997235,-2.967909395,-22.85229026,-13.14615841,6.437014928,-31.07212609,-11.57349545
7251,left,3,1,1,PCollShock,37.29538331,-12.09176166,33.10522528,-14.72845583,-10.34939941,-19.04524356,-1.913029892,-41.15603228,-36.3056937,-36.49608697,-17.72732175,-51.88926658,-41.4814697,-43.21442477,-75.18460295,-49.00812126,-73.84594969,-79.88860268,2.842698532,-22.95224936,-20.52539335,17.86270365,-28.50085565,-28.4229037,6.926007611,-30.95502013,-17.15518422
10251,middle,4,1,1,nPCollNoShock,-0.640889837,-11.18039557,-19.02247473,2.697195675,-0.158982833,-28.9205547,-1.840324051,-11.87504716,-46.31531737,0.75843098,-35.92609073,-70.98500418,-23.78990011,-33.62317856,-52.57986951,-30.11436404,-67.1999763,-63.66647356,-5.833740185,-23.54251002,-5.592118154,6.450262959,-41.00223983,-10.63367463,-2.211854657,-47.42106395,-15.68373757
13251,middle,5,1,1,nPCollNoShock,40.17856167,-15.55269392,-21.56254566,-32.93003008,-11.04998108,-29.66977417,-13.53540141,-25.44213297,-31.16353895,-45.36833938,-38.87240479,-70.66825723,-44.16412558,-18.30272665,-53.1934575,-46.72452626,-60.71167389,-67.62930997,-25.7746869,-38.72321788,-28.46526447,5.698874745,-20.70893831,-18.16539128,-23.46928121,-35.31696785,-14.53909599
16251,right,6,1,1,PCollShock,-1.578046869,-13.92040465,-23.20674747,-28.24862841,-48.31893326,-36.76955826,5.092739758,-27.87811435,-40.83684907,0.381882547,-14.78664886,-57.75130234,-17.67758595,-45.71326542,-68.03922183,-38.45672444,-64.67455016,-78.08865407,-30.92248646,-29.90149462,-21.04435165,-15.89050813,-40.99465166,-18.29490813,-40.71074723,-38.71550513,-27.03440492
19251,right,7,1,1,PCollNoShock,17.03228002,11.36323333,18.87087542,-24.64090338,-24.81544626,-36.10246735,-7.842916276,-36.86088505,-40.22160081,-50.16815748,-62.07289688,-59.27317426,-49.40629057,-70.86960443,-73.21811676,-51.28118062,-78.35405678,-76.43594886,-2.271689902,-40.64454208,-23.30576515,-4.809176318,-47.31393654,-28.37921174,10.13312011,-46.13178966,-31.22961359
22251,left,8,1,1,PCollShock,-0.761619506,65.28200792,-12.29928573,22.11944803,6.810151762,-20.01656397,-48.79574588,-18.93338515,-47.05403928,-29.32254508,-7.495239469,-49.12419857,-5.149035815,-54.1372495,-68.10677053,-59.49719761,-74.06601518,-68.94028168,12.49300568,13.36863189,-18.43682009,-2.677541168,-38.75803374,-37.23318902,1.536711829,-48.59007697,-26.14190004
25251,middle,9,1,1,nPCollNoShock,5.39978685,0.476292527,-8.866466691,-11.08763703,-33.52306397,-38.8315184,4.347144659,-21.17225278,-37.74707497,-36.83033485,10.12922876,-8.421592493,-42.38665724,-58.83409928,-54.80365854,-53.18539241,-64.88260288,-72.01041979,-4.277948711,-26.237298,-16.87563888,-27.58287632,-42.28094346,-33.61993887,-16.88989595,-38.06012228,-40.2587598
28251,middle,10,1,1,nPCollNoShock,72.26076867,17.29462219,-18.33857891,27.24001845,6.566554026,-40.34658136,-17.11554193,-1.238913637,-31.21219775,-7.389459207,-15.7575258,-51.04364753,-8.062627658,1.330094068,-42.47490711,-26.07197314,2.395260332,-43.2396438,-6.847243202,-2.208663585,-16.54785503,-25.15572583,-3.107239213,-5.31166527,8.205818096,18.12908117,22.32399094
