latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,middle,1,1,1,nPCollNoShock,84.71766622,55.93795667,38.0389573,10.0838579,41.19066972,0.317272584,-27.64363175,-2.101113033,-6.090395072,66.06996629,-0.904421315,-27.07705627,-1.885980943,-0.869410888,-23.31320991,-7.414245295,-17.00355515,-25.84356646,47.84779216,-4.704442009,68.02391937,57.38040629,4.970012524,70.1303364,81.74506741,80.72215291,87.41171186
4251,right,2,1,1,PCollShock,1.837268831,11.79084585,79.66218951,-6.334087324,13.06849124,49.77933991,-48.95837891,12.87049584,2.910258661,-38.23597809,-45.44588439,-26.45573252,-51.40136282,-34.28097343,-32.03059212,-28.17013174,-29.63910501,-39.51988187,26.40430892,-20.80750675,21.02143849,43.66893265,-9.693050863,32.26366999,76.97579944,13.07143215,20.94723224
7251,right,3,1,1,PCollShock,-30.55810281,38.88234464,27.25006033,-31.11532348,3.046566223,-21.59229384,-43.89224937,4.057807661,-29.39730075,-10.94221632,-7.012438745,-31.57316596,-22.39273002,-38.66702516,-56.8624983,-47.21233079,-24.05005736,-57.88381949,36.29107994,134.7681251,143.9895276,48.77811176,121.0917976,67.53570487,75.01547994,100.5528673,22.05732968
10251,left,4,1,1,PCollShock,5.936221408,37.02037665,63.11769461,35.11042129,-3.032690686,44.86887438,-23.02589112,-0.772980225,11.50183821,0.475048317,-11.83479493,-35.94654571,-42.41815792,-25.99296483,-34.71607763,-30.95670101,-23.00654036,-43.61836671,39.19277708,102.5919003,39.39584579,43.00776197,140.5175478,53.14601004,57.25587481,66.78607762,77.29234899
13251,left,5,1,1,PCollNoShock,-5.096196488,25.90914945,53.33706393,-9.571798159,33.24812141,16.48458527,-27.51174054,30.70705348,8.056822624,54.35945284,-20.59135333,-16.33155877,2.715201234,-27.76161219,-48.23887804,9.309441479,-33.00364762,-30.34084109,19.28045712,69.32838496,48.709259,28.97298196,84.06720688,47.45470587,38.55288326,99.94067868,55.41561821
16251,middle,6,1,1,nPCollNoShock,71.84285797,20.23760493,13.50287099,64.91637488,52.26817375,6.597898299,-39.39966765,83.20526986,-6.889530869,-7.798544473,-12.50361636,-43.40879952,10.38300485,-18.98244923,-40.83639044,-12.54925767,-37.79899388,-56.47353811,16.85428694,41.79319202,24.67359119,40.88480333,60.90563677,39.95663112,24.28506493,68.6726697,18.11349253
19251,left,7,1,1,PCollNoShock,35.92513274,67.53364499,79.41549929,65.31933457,61.33928353,-7.809001391,-8.387283696,6.927121441,9.50984249,-7.855116018,-28.57421878,-35.42923453,-0.69895146,-20.66796883,-19.85163189,-24.2023877,-15.18836079,34.07243506,2.16365944,26.55133346,-6.321340203,21.04494103,42.29407586,-11.15910927,18.26668642,6.230182876,-2.502302374
22251,right,8,1,1,PCollNoShock,-9.338463697,67.63936974,79.07353437,-13.16327309,10.40687581,-4.811982515,-49.43987237,27.67715033,7.89750132,41.41013354,34.1071018,-9.550040085,-3.150518576,-22.26901195,-20.62135723,-26.79136352,-21.34422638,14.53907179,92.83325361,86.85389264,34.21346091,58.22406919,31.14897519,32.35803202,51.98188359,19.00117962,29.42670581
25251,left,9,1,1,PCollNoShock,53.18050745,36.46372125,61.89930849,29.9447662,9.491344382,-8.368269802,-42.86059971,-11.92884392,-21.58006027,30.3079445,-30.11808694,-41.92868,-1.154705327,-35.55761668,-55.25898039,-2.901906517,-31.15852032,-38.6752115,75.05077141,13.80671099,11.69460501,3.709976336,42.88373619,26.67161965,18.9741435,12.90831642,-0.445739084
28251,right,10,1,1,PCollNoShock,-28.64130297,26.42596295,38.78708452,-10.01362391,13.21296231,15.2493952,-50.68715594,-19.55469791,2.513168676,-44.11784546,25.23805269,-13.95447295,13.46054097,36.07631548,11.13602779,43.82762087,62.80549346,3.947333961,4.713842298,73.30175127,17.74614375,26.27702875,105.3415411,37.79435507,13.86125174,35.83363713,21.36665587
