latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,middle,1,1,1,nPCollNoShock,-26.90051831,-3.526901018,114.9217392,-21.31188327,-21.18034676,25.50845428,27.84438936,9.045716242,-2.515140573,-15.84370457,-25.05696681,48.4626048,-31.96596224,-33.68837281,-3.093590081,-35.75030063,-37.52810294,10.26336034,-4.602550906,-24.36247159,183.898145,-11.11005584,-28.83348099,180.3038702,11.90574957,0.461081482,170.9669057
4251,left,2,1,1,PCollNoShock,52.93459672,-5.461151821,38.16613411,-13.73641461,-23.5338817,-26.56647106,-10.84140128,7.884137754,-16.05164663,-38.17801833,-17.73990314,24.92245716,-47.58898716,-25.28063512,-0.818170407,-31.08568785,-33.02520838,11.82196229,-2.50488448,-38.55917697,136.2929319,8.166601522,-10.71195543,204.394298,-10.53794904,-35.46313023,111.541018
7251,right,3,1,1,PCollShock,81.37175948,58.75121724,45.40639448,82.69364182,40.36671051,105.1261028,34.99300799,11.98319734,71.69461315,-37.62299013,-22.73958258,23.68347095,4.651645399,-30.32533507,4.146276289,-5.888972183,-41.2696713,-6.398560344,-28.83823431,-67.42063431,50.24899438,-18.76783462,-57.72215724,105.1816403,-17.03434553,-47.42758038,163.1182473
10251,middle,4,1,1,nPCollNoShock,14.14162327,16.87960228,95.0280576,-26.72949422,-22.4258533,-4.300352051,-9.28311341,4.840053059,12.37776969,-7.684235416,-12.53864794,3.131848597,-29.93102763,-48.68728608,-9.414937442,-21.51650525,-11.6878184,6.802243781,9.287609398,-32.89447124,122.2467432,11.04630136,-20.64158671,100.4982994,7.66635208,-53.31107718,75.98409482
13251,right,5,1,1,PCollNoShock,72.85709384,-0.77323524,46.11307002,16.89056679,12.37240511,17.65381372,-39.35433939,-18.6028307,-21.45991961,18.37381684,-23.94889709,-4.404350123,19.67120791,-27.95152745,-12.06426598,12.74561725,-23.61413466,-17.1263161,-40.33303053,-49.85716693,161.0986434,-40.9463669,-41.45800935,123.9983238,-32.93250987,-43.14332406,96.51543997
16251,left,6,1,1,PCollShock,25.16251163,25.1242766,44.08974214,10.41013792,18.46662531,6.047744585,12.59273866,-9.932176778,6.023413131,-24.64403985,-18.14083562,31.2220025,-40.7867268,-31.23025722,-14.39849786,30.50428372,3.374555519,59.35936736,31.58423469,-45.26812887,53.25719543,3.779474241,-60.62342502,42.7551585,-22.72147179,-53.92350536,37.14905595
19251,right,7,1,1,PCollShock,14.3027186,-0.867183441,-1.299213293,47.20069164,-6.47721876,-12.19194221,42.2245694,19.4984154,-12.83703273,-15.21255207,-25.49078726,-15.92768708,-24.22585789,-35.66505486,-12.84377891,-35.70824565,-38.23511827,-12.022326,-41.8482974,-52.44729625,115.2876418,-31.55677851,-59.9024507,56.46765914,-23.89993968,-63.21991957,18.96287396
22251,middle,8,1,1,nPCollNoShock,8.825921613,18.94975123,-1.756474028,11.60851409,-7.356254613,3.895200732,-29.86240703,-18.66599909,21.9304988,9.772399843,-23.15047146,-11.57671627,21.32947259,8.463275842,-2.421759166,-15.14725821,6.515486037,-11.85076806,-34.24623963,-47.6926038,42.74786118,-47.2600846,-51.30452705,43.09454252,-42.34186493,-63.83655266,-14.56812838
25251,middle,9,1,1,nPCollNoShock,-3.556670685,31.71514642,26.44659575,-20.79797357,15.08322459,1.333261521,3.152997001,9.764824284,3.51844152,35.32348818,6.36746796,22.80007394,-21.27425752,-22.07603808,13.28851756,-17.95717141,-15.14165045,-1.79455417,-12.68598993,-9.750469883,8.452999864,-32.4608679,-37.9875135,22.45298574,-35.70460605,-42.56548391,16.58580855
28251,right,10,1,1,PCollShock,71.51418688,32.55418734,74.79270377,47.04847772,-7.52917387,12.25394652,36.44515749,1.309942826,1.000870079,29.79237488,-22.12273088,-5.406417379,6.415784517,-2.511631985,20.12520262,1.214316377,-28.76197959,-5.927657016,-40.16010129,-63.64971011,17.61337025,23.67919774,-31.15760662,40.20743181,6.478743435,-38.56559265,36.36476869
31251,left,11,1,1,PCollShock,17.72139808,-15.42635428,8.930661885,-22.8764413,-21.96619862,15.59614427,-33.81548091,-2.787647134,12.28376348,-50.2048784,-30.05620423,34.37171384,-38.02982056,-21.08992073,17.78156894,-40.72328172,-30.32491518,3.080951374,-29.36173389,-5.21505821,34.71631781,-21.5321063,-32.25614329,58.58337141,-32.56462816,-49.64229143,58.30831043
34251,left,12,1,1,PCollShock,-6.814250159,2.389393644,23.44401605,-25.1537189,-24.97352925,-7.411637173,-0.26832856,5.498165741,0.759481472,-0.447294976,-23.91794738,2.146111897,-3.105148398,10.67810165,4.187186627,-39.08282375,-11.47578236,-9.517404099,-36.45536193,-37.12162768,55.33891571,-50.87089937,-32.42405917,60.14897117,-23.55736905,-35.42575659,55.75568748
37251,left,13,1,1,PCollNoShock,-13.23537952,7.385137132,34.40248119,19.31807487,42.65954912,-4.113417529,-19.60776828,-10.86232759,-9.239896404,-34.21183075,-45.02577566,-1.361504115,-45.807327,-25.82693223,-20.49385232,-34.73941607,-15.94551598,-9.801763657,-50.43603675,-55.44311665,43.21846696,-38.7637308,-45.57513342,30.83516253,-27.55134905,-28.8758535,64.78292289
40251,right,14,1,1,PCollShock,21.07262218,2.891241068,13.13444061,-32.05340648,16.29664957,-33.94047331,70.86233173,17.81043749,-11.89555127,-31.88217766,-12.98069018,15.07938308,81.48893684,2.582597576,13.47248027,157.4382272,-18.09654915,-9.222301077,-47.09388653,-56.61469108,0.615768643,27.35117457,-33.17205859,38.08556284,19.16116164,-45.15925096,8.984930484
43251,middle,15,1,1,nPCollNoShock,-28.99312123,-3.90944247,16.57828252,-16.31953936,-15.07083732,-8.286245062,-27.16432781,-11.96173094,15.47146656,-37.64289962,18.05736311,27.73863768,-29.62028716,-13.46044784,-19.02815526,-22.10908057,-18.85275009,-3.979763689,-6.329660245,4.619479231,51.37616723,10.95069593,-10.04363749,36.19277828,-45.49001176,-38.65620602,2.980071712
