latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,left,1,1,1,PCollShock,132.7659559,163.0592502,199.1880687,11.20040627,28.5256055,42.04205976,18.04109666,-11.26602934,19.8693617,37.13561887,19.20617633,43.60930693,1.816330854,-17.93128139,-34.41719905,1.61320988,-18.55246989,-35.22377124,34.37922456,83.56068437,7.939385515,50.73050173,89.2132685,18.21054408,63.47930671,63.81598897,25.0709115
4251,right,2,1,1,PCollShock,-15.21208568,34.64239755,90.57920507,-7.241794021,52.21576174,-11.22271876,-0.046578574,34.98740498,-20.80674873,-26.84170378,9.937896643,4.140287961,-43.56574251,-4.413564394,-50.45059423,-35.77430956,0.189939712,-46.84174687,56.3595536,56.47204338,0.727172319,122.8438388,111.4792369,22.8551371,30.92383312,45.85775366,28.35794852
7251,right,3,1,1,PCollShock,-15.78488268,40.46113978,36.23748097,-12.35626291,20.0984319,-19.02036898,-21.40337912,0.750536339,-17.81923129,-39.48713161,3.835514557,-1.442191259,19.48180659,-7.402074536,-47.54435103,-5.97595483,-25.18210549,-40.6035329,72.65986101,70.26971249,-7.975928957,81.98540225,89.74878919,29.57057318,129.995831,103.6375939,21.88689965
10251,left,4,1,1,PCollShock,15.78790404,111.1740516,175.6816298,26.81112597,12.00907891,17.42392196,-6.32710233,-0.215207333,-0.356551762,-4.038677551,20.66086619,42.8973555,-20.90675685,-31.01537927,-38.55896834,-21.7275656,11.84605454,-18.27740981,29.00643018,33.52281094,52.30196261,16.05426208,18.56082836,-5.584020382,17.39367141,37.5381458,-6.150340617
13251,middle,5,1,1,nPCollNoShock,-8.055990833,23.2100119,109.3904224,-37.62143741,11.09394227,-2.249073542,46.16740878,62.84038754,20.02679704,-3.797121161,-24.33535727,-17.0026243,-9.586595853,16.01072466,-37.97075335,76.26731755,14.75743505,-27.15534378,6.133064055,10.8520394,-12.87190066,22.61815733,15.9824795,-19.06884297,26.48330091,35.38706302,0.314069953
16251,middle,6,1,1,nPCollNoShock,-20.82585017,51.24714158,113.9392657,-20.74941868,22.7818723,-10.35700907,31.98791015,-10.88030091,-6.669519234,25.47750935,-15.47056953,9.335099899,-16.75901794,-39.20727496,-46.836074,25.9421316,-3.251062382,-35.62771053,21.4639458,25.75138067,-4.215777701,17.94025559,27.72933435,-5.632342591,37.7892328,66.32914408,8.035700409
19251,right,7,1,1,PCollShock,-11.96909904,33.67226406,90.40860591,-4.075418836,25.80493147,29.39373407,-14.09522361,39.21086806,2.27648937,-28.46105342,-21.83365675,-0.857668885,-25.8685908,-18.07636374,-21.78232588,-60.01115446,-1.174745601,-28.16629043,89.57113143,40.7511961,6.99877084,98.14258629,81.92869548,1.22969147,74.05242408,87.96895561,25.28508683
22251,right,8,1,1,PCollShock,-5.331558195,28.78148585,46.26253396,7.109403049,42.89658461,-17.13063143,7.571966901,31.04281844,23.48712026,36.89056777,30.38397832,11.92106446,-29.05826745,-13.83034512,-36.15176292,-10.31790112,-34.79156855,-30.24256049,1.09443453,13.57993567,-1.282320749,38.47390497,36.04763257,-12.16304453,2.688027348,22.53461266,-2.819996595
25251,left,9,1,1,PCollShock,-22.08240821,36.79186202,147.6970127,-52.69077976,5.186095589,10.9389698,-46.2588728,-24.29784158,-20.05947335,-28.22272069,-4.068367205,10.68058292,-33.14192525,-33.23978176,-31.37445848,-27.40216193,-42.38096482,-59.76528843,20.9310903,33.07355658,-5.120814499,29.74106937,52.81361288,10.92804691,-12.17171281,51.90368843,25.21138035
28251,left,10,1,1,PCollShock,67.49101984,46.25568148,234.955243,10.82979392,-17.98268789,8.704249557,-10.32712347,-0.057367986,12.1945979,27.58364159,-14.47536603,36.33675657,-33.16977178,-37.83979265,-45.37234974,-59.26659174,-46.64365456,-49.15137046,-1.35462759,16.37317373,8.890159977,37.24720939,50.48124958,-5.926275433,19.04047813,42.19946672,-6.515564088
31251,middle,11,1,1,nPCollNoShock,24.54269903,50.73945579,9.048996347,-3.781007619,53.91319328,10.97880735,28.75771961,40.8312804,34.57815313,-20.31803719,-30.62279367,-37.26707954,-6.117319977,18.05069325,-21.18494186,89.06386767,141.9364872,114.7194123,67.50649825,42.05907124,4.494782701,12.80110999,38.32684459,4.704079544,98.80505407,68.85754634,37.45138978
34251,middle,12,1,1,nPCollNoShock,11.32784597,69.06082589,128.5722734,14.45324825,84.29841322,28.93464776,23.45145352,31.42369004,33.58914855,64.75484586,79.86676196,105.0436674,48.22331258,10.57937004,-1.694576529,-6.644411185,22.2482354,4.664267398,48.21520685,86.92090954,11.70825352,69.68544968,85.50315558,27.01072676,63.11412188,63.83690295,38.53427099
37251,right,13,1,1,PCollShock,-18.88262296,111.0658216,110.0085756,-16.92866429,23.8993908,-11.10794718,-15.51518907,-3.556079075,-23.1196655,258.919927,282.331091,223.5085487,126.0015828,138.0478802,68.36553993,124.5505537,135.1195225,95.734738,78.68658364,119.4968484,46.30294656,25.71899348,69.45328795,46.57122168,48.03333656,54.83479829,56.03919754
40251,middle,14,1,1,nPCollNoShock,-2.914102395,7.942121371,50.90630571,-17.19291074,-6.099550265,-15.40082264,-48.26784269,-15.2108784,-31.12470922,-40.73881949,-26.23803339,-7.836871271,-17.44602187,115.7929626,149.2570042,-13.85004491,24.16817854,21.6207872,78.98722033,39.18619136,-9.049812727,69.79647476,83.87416175,41.33504563,56.5523034,52.41711685,5.495774594
43251,left,15,1,1,PCollNoShock,-2.89460536,47.3514448,65.64460432,6.989973734,7.354454059,-15.51779943,-57.15604122,-36.87709414,-11.70577743,-40.17430385,-28.18777254,-15.19473528,-23.78430781,-15.13874563,-35.35272881,-48.01905685,-27.52507517,-38.10324071,17.56481198,35.36127654,18.74660263,23.25731814,85.07067319,48.20743116,33.44275648,52.12053365,11.88091208
46251,right,16,1,1,PCollNoShock,20.45933576,-2.638210996,65.65090582,39.02866477,67.04601767,19.30376429,-6.706128431,28.8495616,-15.14205605,5.02706144,9.831891884,-3.616227196,20.22387221,-6.946325512,-26.07991541,6.773906078,-21.67210545,-34.6482022,28.68601087,37.9521073,7.663786944,63.11320525,95.25412182,11.89358549,29.98112712,89.29213618,8.312104393
49251,left,17,1,1,PCollNoShock,-38.83466382,74.78725048,226.5660466,-11.85570086,-1.356337209,35.36476536,-10.23637482,-10.02024428,12.01488423,-5.239893619,-10.96498468,20.5070331,-13.04344102,-40.96130909,-40.49817771,-47.50841233,-50.15595081,-38.54755217,-14.85360489,14.42746307,-3.949267269,66.01678984,66.35430279,-3.816850937,34.00378263,88.53784269,4.622527387
52251,middle,18,1,1,nPCollNoShock,113.4803896,41.63735965,60.30496028,-4.048261462,34.59783752,-5.213159097,-35.20258037,19.72764385,9.32194495,211.2431678,351.5133983,281.2347741,162.9219305,202.9507347,161.6753783,150.5332581,197.6923433,177.5895479,49.92045458,111.7791224,70.3312111,39.80455241,76.95644516,79.04842241,42.08415284,96.21587097,47.70204209
55251,middle,19,1,1,nPCollNoShock,-4.085187383,52.78214922,66.55456388,12.68496682,34.33960822,-13.3837029,-26.46492752,-29.63892485,-44.28178579,61.99254453,37.04032104,26.93049507,10.00228834,-11.7876364,-37.7986519,-7.229240014,36.89348073,40.91016159,59.28484555,48.52459367,15.39684753,129.3581975,116.7267039,18.2013299,123.5463268,77.31932731,58.64447109
58251,right,20,1,1,PCollShock,33.21528045,53.99302825,58.25129654,15.72202516,8.130368971,-15.42697165,36.9362616,30.8822774,-23.66955338,-21.62053772,-13.42770537,8.2547586,-47.73103802,-41.43676461,-44.70325084,-39.09368244,-41.0062494,-27.9453516,118.7100751,101.2788037,21.73079846,81.11978628,91.46849335,9.279302178,72.9664028,69.37041282,25.16314567
61251,left,21,1,1,PCollShock,16.51353516,78.07851761,151.4653552,17.65604261,44.57858452,38.75475995,-18.64803741,-1.080931783,-18.94148621,104.1582188,165.8765014,199.302786,42.25237482,141.2530793,126.4239587,112.3667972,179.6964296,164.5182342,101.7046412,140.5080992,68.88529709,116.1052715,122.7751867,23.23043256,101.7560631,124.794702,57.09668131
64251,middle,22,1,1,nPCollNoShock,14.04242643,128.0419596,135.4048607,-39.49739628,-8.261424055,-5.456693055,-12.28914111,48.59276519,-14.49602951,-29.35569569,-17.66378913,18.56356898,-23.86319004,2.075238151,-37.58086213,33.33976166,67.0423183,25.07405954,19.62704905,50.58345239,16.86983308,91.70554247,81.82785031,47.72863205,76.65809993,80.77673599,54.22921686
