latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,right,1,1,1,PCollShock,7.549690234,-4.370048526,-6.458829672,0.932130909,-15.16921603,-8.613740508,-14.57517176,-15.13048378,-19.56318387,-9.09384542,-27.84481937,-0.434555422,-27.77014395,-44.58075707,-5.797076848,3.708152651,-33.08565902,-15.36081183,-24.58097022,-24.10183438,-5.807968436,-28.61501534,-9.250341953,-5.306431418,0.063671836,-12.31875977,2.947873173
4251,left,2,1,1,PCollShock,-15.31722358,22.16253435,14.43494943,-13.3971862,12.45471786,-1.023625495,-49.81449344,-31.76702481,-26.53524606,-8.856780188,-13.21232555,14.69074497,-32.11131297,-28.22168627,-15.59022739,-8.581226972,-43.85591882,-20.1349568,-29.95860343,0.42959893,-6.502461044,-8.585690171,-9.385093406,4.010463301,-15.99973103,-26.08922043,-17.25309722
7251,right,3,1,1,PCollShock,-52.91227974,-39.39088564,14.68022159,-37.33780963,-31.27303158,-13.51734587,-44.25469652,-26.63090786,-19.06437528,23.27510334,-3.749794875,2.318195332,-28.7923223,-39.5396654,-14.43302401,-50.19656942,-39.31060784,-19.61630726,-30.89813477,-14.29790777,6.765972022,-37.89927675,-35.52200307,-14.00281414,-36.6487409,-31.41830613,-3.043835396
10251,middle,4,1,1,nPCollNoShock,-8.653975703,-13.92956144,18.87134689,-20.35713515,-8.468200509,10.27379392,-12.55805514,-30.50177788,-23.93277529,1.267946945,-16.23459033,-6.454346157,-23.12132566,-37.10036332,-26.79946603,-12.76171541,-49.30519339,-34.6506579,-20.99431083,8.901519944,20.43824547,-35.35502676,-6.526328991,8.937626779,-20.35196151,-16.21771052,14.02366007
13251,middle,5,1,1,nPCollNoShock,28.78963856,-14.74290537,48.48513193,17.02014094,14.97001984,23.11878883,57.54279261,20.6559827,61.86218826,-12.35520254,-13.0764442,-13.67905221,-32.44934085,-21.38077778,-32.98051611,21.56539125,-11.69983163,1.216958003,-12.88751445,-19.98638473,1.047781115,-26.65263137,-25.87583466,5.442680417,-28.89993474,-19.05317832,19.6516418
16251,left,6,1,1,PCollShock,-19.29587059,-5.1095014,33.36855693,-10.78372244,-1.232935363,-25.94263709,-58.20224339,-28.9470132,-30.35575494,-2.365372612,-40.17393351,-8.5543431,-3.418967939,-36.26748221,-5.243324014,-44.09773956,-47.28922346,-41.53354742,-35.4547309,-29.72893313,-21.91344787,-34.55970224,-24.33674956,-18.37017222,-2.515411,-10.28723246,-12.55816735
19251,right,7,1,1,PCollShock,-4.970339144,-26.38124156,10.92524539,-13.43874356,-11.90194639,-10.58334039,2.692006476,-16.93912667,-14.55634269,-20.62299042,-29.96818361,-9.858335432,-34.58715982,-18.98104086,-25.78207843,-19.03949695,-44.35727578,-26.56562678,-26.248432,-39.63663394,-4.115829643,-39.59744385,-28.96139002,-0.845010088,-46.5174805,-30.31738827,-10.67442424
22251,left,8,1,1,PCollNoShock,-4.162188859,9.725277363,82.23624452,-1.812447435,-26.84975626,2.868106398,-47.78316871,-1.582452707,17.36554568,-23.5894499,-28.05728172,4.017086167,-21.53774003,-26.71664583,9.014438767,-28.75111919,-36.06865871,-15.07110801,-19.17153181,-13.50473366,-20.93367365,-48.28119708,-39.08748581,0.727531485,-33.05542122,-40.78364812,-9.771009783
25251,right,9,1,1,PCollNoShock,-15.77679074,-35.7142095,3.025135323,-40.77104496,-22.78990777,-41.83777172,-56.0117065,-25.09923337,-22.47922184,-30.53958795,-33.12962633,-10.07707114,-32.1262201,-22.20329999,-19.24598318,-26.65291933,-31.04115137,-24.76889722,-33.60862345,-25.2779435,4.077151294,-38.12223473,-16.01992186,-2.685143637,-48.51178469,-31.60761473,-7.881052598
28251,middle,10,1,1,nPCollNoShock,28.18647587,10.34213152,92.43916547,0.742090037,-26.04098347,26.02395812,-18.55685111,-23.50511985,2.935614587,-6.054689251,-26.52910814,21.35974085,-3.539685135,-42.46192803,-23.0550967,-22.72779155,-31.04931391,-35.91852861,-16.63151121,-21.15127915,-3.927798455,0.84373974,-18.70049071,18.88145261,-9.012081474,-6.651899192,-12.2692521
31251,left,11,1,1,PCollShock,-12.70308604,-19.29133732,7.825918306,-19.15382881,-9.831213248,-17.79026883,-25.67910653,15.97630321,-25.35003741,-22.53386525,-20.03718641,-0.073298466,-48.63931408,-39.89921097,-9.770641786,-42.58203408,-37.12081954,-6.433622868,-49.07598527,-11.73428642,11.48619224,-35.09174551,-26.48924702,15.49948927,-42.26125146,-37.19249886,-1.255197092
34251,middle,12,1,1,nPCollNoShock,-37.50928346,-31.45439978,3.165258151,230.6831199,46.87263864,0.953633463,50.64455171,10.32069468,-13.92326214,-42.53897375,-25.57885819,-31.4336976,237.9596284,37.39488069,-5.713769219,68.86331419,6.720002023,-25.97779886,-11.21195172,-23.79617378,-15.1155657,55.80716721,8.548681245,16.98736854,19.69903925,15.28652798,11.98303968
