latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,left,1,1,1,PCollShock,5.398730961,4.400472212,2.990135347,4.09337405,-1.474556617,-14.2372504,-43.55250401,-16.59660075,-20.40071712,33.48998092,-27.10254132,-16.57804315,19.97260222,-20.13700413,-10.87862251,-10.55824078,-18.88027354,-22.71773351,21.20342329,-12.56062768,-13.86934255,26.8583781,-12.43943912,-20.26908808,0.8244453,-9.396400142,-24.58320362
4251,middle,2,1,1,nPCollNoShock,20.06771094,55.39501434,58.09742176,-12.47397127,-4.903785818,-11.07207691,151.4342851,18.90017039,-30.13573482,53.18549558,-17.54043809,-15.82872389,1.587830024,-42.98705435,-41.48797219,12.53076393,-16.71604892,-16.54570202,76.14002699,47.62117297,24.50140256,60.95328055,-0.550184321,-17.76816753,56.01551495,-13.85678305,-15.85772991
7251,right,3,1,1,PCollShock,87.17340266,48.58166585,87.65599774,58.74032121,-4.7086526,5.820293224,92.41050218,17.28956442,3.312367384,74.19363914,26.16843068,-24.83981018,12.81583127,-6.685456852,-13.85599924,15.97362283,-14.42628144,-16.16484892,29.54954818,-25.45883901,-22.61546029,2.940743737,-31.87852198,-39.90915887,-6.506894228,-41.83319579,-30.22524725
10251,middle,4,1,1,nPCollNoShock,23.13827766,47.40292446,53.77538806,-26.46603915,0.330765015,-7.35125669,-29.89985368,0.515067449,-33.70499088,0.479687486,-11.39030599,18.45086818,-26.17652122,-21.6566385,-11.47571858,-15.05176314,-18.98624469,-25.50472378,20.47893725,-21.89120283,-10.22931728,23.58325896,-10.17919353,-11.2411684,-4.334430469,-2.416143102,-12.12679429
13251,left,5,1,1,PCollShock,-21.11829542,-21.47450938,-12.48790164,-28.99146689,-1.218447131,-26.35818237,-36.43698348,-2.692509856,-21.25181923,17.39606211,-14.20884096,2.065585247,-34.08036111,-24.71418891,-36.41477725,-11.10221218,-20.57926391,-13.16263366,-28.88140057,-17.52000337,-20.67679564,-23.88442435,-47.74717792,-46.85580983,6.940085339,-36.58397278,-39.96820006
16251,right,6,1,1,PCollShock,11.63002184,-1.005171527,-4.658971014,60.88111336,36.24843709,-11.93065047,-38.77573086,-3.565683293,-35.82499286,34.32866518,-10.14537294,-18.45256112,8.502694861,-9.055708392,-5.583732221,-23.90722128,-16.45157755,-32.88545585,8.125246626,-26.38733541,-28.01515889,-16.01594927,-36.58066425,-21.22854105,-13.62378727,-27.78597925,-32.6889721
19251,right,7,1,1,PCollShock,40.60802372,1.345331164,4.28459168,236.9073557,29.81757887,21.41937769,70.35776935,-6.527069922,12.68399824,29.29483153,-27.68238566,-17.62743895,4.407386343,-31.35291003,-27.25532776,-3.280648149,-30.25748227,-11.12056269,-16.95277839,-21.90319418,-44.27946942,-16.74981985,-34.01904371,-21.10765939,-6.988202321,-44.81370177,-16.63444766
22251,left,8,1,1,PCollShock,-7.213422628,-10.16695252,17.18762574,-25.03933077,17.11996424,10.83961037,-49.75678743,-15.09746752,-16.05136397,-2.304166664,-43.57009988,-33.74396719,8.37752143,-41.40607254,-28.96949976,-8.954531597,-27.2354993,-32.63333225,25.96237026,-22.44303468,-35.45045992,13.34082241,-44.62591879,-43.33262832,23.28805881,-38.00246076,-46.82627982
25251,middle,9,1,1,nPCollNoShock,29.33873585,-17.08971044,2.692500707,19.7575459,14.80326261,4.01169921,-10.36099265,6.354796188,-23.05190703,68.15471082,38.75738901,-5.731270124,5.096767909,-21.28681517,-30.8019201,-21.86587848,-35.02707874,-22.40410594,11.8101551,41.06394662,-3.115727248,-24.04601712,-26.62051079,83.58263145,-12.40264427,-26.01933696,0.308537085
28251,left,10,1,1,PCollShock,2.407411825,-2.330632303,10.49025452,62.6601402,47.05726142,10.45381749,-16.34400086,-27.85927916,-11.91976835,-0.207826443,-36.17750398,-28.74362838,48.98931164,-33.53353062,-21.59486659,-21.20293656,-24.71400682,-9.221899494,-48.18640737,-37.69976054,-37.15770044,-9.693530858,-42.12886143,-38.82764704,-6.274658051,-21.39089139,-8.76234796
