latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
4251,left,1,1,1,PCollNoShock,-24.22970396,-14.23306692,19.46596306,84.42513794,34.3168383,56.19257787,-5.765359231,19.5838513,8.052795138,-43.66616938,-9.147355431,-35.5811747,294.032322,139.6104163,86.06085437,-0.194239062,-3.802153377,-8.392126824,-21.57390059,-13.29374001,-8.579122337,6.825310283,-9.03611118,28.4108393,-10.93338463,-31.32551606,9.872507238
7251,middle,2,1,1,nPCollNoShock,-41.74317659,-12.91725921,-10.82426907,1.189231856,4.253937386,-37.02706511,-1.845108787,31.50229215,-6.310629396,20.52569652,-15.99042717,-25.34237706,19.96654704,4.436535532,-19.53363645,-2.672086793,6.76453558,-10.24014489,-8.660076068,-13.09046393,-6.949296151,41.73103504,0.86793174,-14.18250779,44.42558466,10.34418204,-3.740467301
10251,right,3,1,1,PCollShock,14.4928934,24.99022524,-4.745033039,17.88890894,13.83147295,6.448126076,17.98214805,1.572356199,1.418805237,-25.15802108,-15.16927424,-35.80259723,43.43013793,41.73448015,0.455021318,3.191243037,-23.68745897,-29.9170823,-20.23384955,-6.282879484,10.75374421,-12.78763174,-11.34985203,15.15231537,-4.083302019,-12.66923178,-19.30519567
13251,right,4,1,1,PCollShock,-13.57922301,72.4151111,15.23868918,10.37974074,56.92708353,11.51287315,11.99226594,30.42138156,14.49329985,-11.45923961,-2.748812747,-12.63747848,-6.871665241,-0.216499068,-11.07726314,49.87926497,87.07537447,-9.757000358,-19.92526981,7.648470189,-5.146479722,20.77120085,-7.907613571,3.720959004,20.17026097,14.60193018,2.767040251
16251,left,5,1,1,PCollShock,42.04689829,59.60605804,10.59611449,-8.221850632,38.31130892,4.204253585,96.51715835,36.37525725,8.375097021,-12.48080533,21.08039023,-17.04283527,-2.149881982,84.06189606,-0.930305298,109.9338866,100.9083512,26.82839385,11.11800154,11.696528,-14.80916878,16.29097555,16.88233923,18.82289599,74.79862432,6.197057213,-21.57768391
19251,middle,6,1,1,nPCollNoShock,-26.52234203,31.28721688,-12.43970898,-3.809268321,32.05461569,21.70221911,24.25902391,61.39152029,1.632491798,35.42155216,31.76974325,-37.56254054,58.4892823,65.12095886,37.96463664,-11.13859623,40.35744165,13.12469845,-13.95465279,55.32291963,11.25249528,85.87879553,76.35635839,38.13030071,6.199978703,42.27509041,15.38960044
22251,left,7,1,1,PCollShock,2.779739788,-10.45489734,21.40611158,42.09561373,16.35331123,88.50293293,9.888995087,-10.02108278,5.553499147,86.94333891,32.54271765,42.95101068,90.59809639,39.08974004,85.57717838,17.29245194,-30.70379429,-31.47554897,49.81926035,14.0489911,-11.18834277,84.78028879,20.8571745,1.35334844,-18.49958051,-27.49765281,-20.54407717
25251,right,8,1,1,PCollShock,-10.21548028,6.989340059,11.18942959,2.32343567,-16.56469563,-13.13659374,3.698189408,-16.37347098,-2.030984138,-17.9552187,-13.07514,-36.08142001,-21.79699445,-13.06272879,-33.93989975,-16.33923588,-37.21488368,-33.05295367,-8.313667842,-26.50966225,-14.23555704,-18.70578985,-21.78393064,-22.94836592,-14.35791492,-27.42728544,-34.44562615
28251,middle,9,1,1,nPCollNoShock,-24.96179451,24.84722004,-4.499068817,-5.585037847,8.787785451,-27.10600856,8.543809804,15.17069248,3.504122605,4.71840982,-6.337599553,-32.28046562,-2.815909805,-15.37176543,-33.80609869,34.58268506,9.162817898,3.730556107,-7.223513976,-3.60823215,1.137591977,6.925014789,-1.299998144,-5.332633289,4.613443233,18.82394889,29.15973664
31251,left,10,1,1,PCollShock,-16.22457775,-6.897034046,19.44468771,-25.59192801,-26.92727376,-21.69666555,-21.01054239,-15.2410792,-10.77082809,15.85772477,-11.55417469,-21.58520703,-29.59632086,-26.52202588,-3.795188958,50.74922113,90.74284984,69.6769171,-1.22640444,-13.80979586,-8.857129088,-16.84984059,-28.82239693,-20.07900438,19.02731278,-10.42230997,-4.307068035
34251,right,11,1,1,PCollShock,-13.31412939,-14.64409045,-10.0811478,-5.646059169,-19.84421613,-12.6475628,-16.30561759,-11.91631521,-26.47134669,19.21581196,6.089809369,-35.76662603,9.652257139,-23.03728118,-40.06137617,0.546254905,-25.62804397,-44.27571699,-18.47385742,-4.802253981,-2.481995333,14.5101641,-20.87421266,-21.28021835,-24.40159989,-38.39157875,-36.66009218
37251,middle,12,1,1,nPCollNoShock,54.19431595,17.87905576,40.6738736,211.7624305,-0.576076951,35.27099611,12.65127607,-3.840439159,-9.103729621,15.90932501,34.07950407,40.68612201,112.9138675,4.156413315,55.19043872,18.5819705,10.10189724,2.586988542,-6.624913821,82.3423124,20.45484617,33.68693589,26.68315809,10.97276404,18.08690815,29.17687657,26.17831262
40251,middle,13,1,1,nPCollNoShock,-39.80893414,-12.6027097,-19.30719728,-12.53298739,-19.67325361,0.559920728,16.8541779,-14.57689012,-12.67893217,-29.29706973,-32.00325646,-17.96405067,-15.73588156,-25.93286503,-17.12542924,-27.89330473,-52.39750584,-45.15648294,-21.04363386,4.351391509,-11.99107874,-6.91505872,5.436476615,1.098051743,0.292853181,0.942035703,-17.53352413
43251,right,14,1,1,PCollShock,-13.92646847,-32.71725719,-5.734800666,16.25715026,-30.99760625,7.120575822,10.84348211,-15.89019431,25.48633655,-9.373598851,-36.29010685,-14.19806629,44.6760686,-25.39785052,-11.47079657,53.73796102,19.15212981,0.958285933,2.325607266,-22.38375188,-11.86864743,-15.66034402,-12.99636054,-3.547457727,-25.04543244,-15.3131608,-4.102212153
46251,left,15,1,1,PCollShock,-6.391138745,18.45054072,37.46798689,16.91619011,-1.095192939,54.738287,15.25711987,25.62105816,-21.60495443,51.91198105,41.41990001,-11.02023327,86.44909531,83.45368254,37.22859196,-33.54196097,-4.478701993,3.757537015,-15.2606459,-6.242658822,2.298071651,1.391528678,2.508478498,12.33915127,-34.54995512,-30.84581791,-22.69817522
49251,middle,16,1,1,nPCollNoShock,-13.70839113,-12.70063142,-13.45137179,78.34015942,-13.99353819,-4.567713532,84.88672397,22.80686353,13.52998123,-46.09689022,-36.00713186,-25.58758094,2.858000515,26.46117952,27.66740161,90.47586084,32.54935141,24.69702626,5.353707364,6.257863769,9.195534553,54.51240688,32.56394509,-0.338914757,19.04973068,18.12582331,30.77706106
52251,right,17,1,1,PCollShock,19.92568394,-6.392058487,14.41076307,82.76849766,1.804950576,-19.15523185,49.91880164,-5.596552708,-26.84016924,22.73941665,-21.70226091,4.792326001,17.7289464,16.61810842,-15.37597829,66.54201157,41.62463832,-17.59006437,-3.260510225,1.048373419,-5.048071984,-25.46034075,-5.291405631,5.926572185,-18.22455058,-22.74385158,-30.6446337
55251,left,18,1,1,PCollShock,-33.12242696,-1.651827226,-10.38954684,-2.814670282,-10.05213386,-33.99737779,37.7353334,3.28584457,-2.669572587,-17.59395461,-20.64864975,-24.612645,-6.452403861,-31.17273057,-19.47294838,10.45571369,-2.834428175,-10.85799117,-37.96926404,-27.23577038,-19.40962625,-33.66631036,-29.06639822,-17.60713225,-24.85832654,-20.85361583,-8.660177521
58251,middle,19,1,1,nPCollNoShock,-11.34971466,-16.49359825,-32.62280557,-19.0304974,-10.20828193,-30.77424798,-24.48810481,-8.032357912,-29.7732388,-33.18244557,-46.75136519,-49.09506895,-44.26620516,-51.32894866,-51.35856871,5.987757519,-25.85653334,-24.9755221,-18.99966223,-22.7001842,-8.559731953,-9.984421255,-22.81161589,-22.82663942,-22.97737057,-0.426055721,-17.64875456
61251,left,20,1,1,PCollShock,19.63851347,-7.190980264,-20.75078321,8.173845313,53.2845418,-2.346411406,20.84283499,-14.06033743,-13.60627919,-22.20164048,-7.912818019,-33.90776038,25.29391981,34.22996658,3.691892999,-11.4007863,-28.92040514,-25.42185753,1.568829085,-20.64261984,-27.73168807,24.24093709,-8.794195312,-16.9584294,-27.43313091,-28.7173515,-21.07228967
64251,right,21,1,1,PCollNoShock,10.60551546,-0.242628924,16.70123848,-8.15753084,-30.39416,-24.43554894,11.6253246,8.922200332,-5.421554048,-19.02269415,-30.6492822,-5.805238782,-10.95415951,-20.01390411,-10.26810554,-2.476230799,-10.49941674,-34.72347256,-2.898955215,-1.054958009,4.800235788,8.07638256,-26.5580077,-19.04003403,-10.87681768,-20.60142499,-37.95524168
67251,middle,22,1,1,nPCollNoShock,8.97325711,-32.19353166,-19.76586789,-19.21832897,-14.63825863,-3.607010513,-23.74733474,-33.01473976,-24.11376441,-23.54759305,-44.12528506,-40.23606349,-13.14103897,-16.88089409,-8.63680666,-10.50664252,-35.73837207,-29.19734236,1.936695307,7.116504061,-12.70153529,-11.80420798,-2.531328167,-23.51397207,-13.11964005,-20.80376871,-15.65972733
70251,right,23,1,1,PCollShock,-29.69323018,-19.39437361,8.921681301,-32.9063893,30.56006841,39.37204472,-11.72604475,8.008652795,19.4536761,-14.47065343,-24.46970055,-48.52421534,2.538549504,29.96638713,22.04989367,-24.87815594,5.486178815,-18.5671579,-12.69543767,-12.36765506,-5.878757736,7.348242602,-6.433204182,-11.72025319,-9.604488519,-14.47841912,-16.95112464
73251,left,24,1,1,PCollNoShock,-3.869420384,-22.69717618,-26.54398057,-24.3472139,-13.83373791,-14.68072941,-27.28759132,-23.51314086,-25.97993763,-27.69133328,-48.16587314,-15.5510882,-33.08463401,-37.44364152,-20.71649524,29.17626368,20.39387822,19.33577411,-37.17292311,-6.836807894,-10.93189203,-29.78274753,0.363630341,3.110775436,9.558752501,-17.4450047,-18.7224508
76251,left,25,1,1,PCollShock,-22.66225514,-19.66850463,-16.66580305,18.61160605,-7.643643059,38.56474851,1.655858072,56.38181567,97.47071131,-38.61773188,-24.73693986,-18.9355855,-0.240450077,7.562932843,53.96784666,40.44471284,84.82488254,118.3486303,-4.721536423,-34.56770632,-36.09351078,-11.70636885,-21.49591089,-34.15714877,26.15372015,3.624329331,-18.11494575
79251,middle,26,1,1,nPCollNoShock,-36.72420064,-25.99369728,12.01390208,-0.455675065,-10.65156823,-19.65354957,7.605603217,-22.33975614,-15.94159146,-12.50576747,-39.58603007,-29.59552377,-30.55068536,-29.08924594,-29.35232944,-14.08011408,-27.81676521,-31.13594315,12.51701706,-15.86344639,-33.42348814,-17.08783493,-13.93917659,-21.0911487,-12.3465292,1.470914042,-27.11443825
82251,middle,27,1,1,nPCollNoShock,-48.0307341,-0.730603546,-23.85592823,-31.45854201,-7.795352748,-10.20473565,-12.65305723,-0.783736811,-7.138583662,-37.28242562,-34.58229454,-35.87371947,-0.444517669,-15.8271371,-17.99594201,4.031861775,-28.87645454,-25.64193725,-10.81109202,-14.27717595,-39.19917134,-19.12801621,-21.13946974,-23.98087179,-11.89112555,-30.55861723,-36.75057338
85251,right,28,1,1,PCollShock,31.16138154,42.72930601,7.357453444,5.266824741,19.57545116,-8.68491674,14.68257836,13.79608985,7.578628971,8.761843716,-26.61511239,-28.16736225,103.4791276,46.71826406,11.88475842,108.6239459,34.77204764,1.607774578,10.09932817,7.72779819,-7.975562497,30.82610488,8.037278316,-4.896909934,43.8131991,-1.139290851,-33.52082234
88251,left,29,1,1,PCollNoShock,53.33205212,2.708844933,-14.19757842,53.56785518,114.1922565,18.71776802,79.70547739,95.54918203,23.57978572,9.339698616,31.78740543,4.620307043,55.7325802,179.3101243,39.25374137,137.8768939,86.85983481,-13.73052384,21.49590301,-0.089274732,-24.21152069,64.92156446,41.84013532,-19.22537602,14.70764305,19.86427385,-40.95097349
91251,right,30,1,1,PCollShock,5.652937438,7.046073192,-14.60165757,13.97010579,-15.56076622,-18.43320795,9.424718038,27.09504999,17.19401733,-17.38480739,-46.09599662,-35.2649733,10.89027119,-29.55082283,-21.34879311,5.509493373,-4.379816076,18.24620574,-1.931427447,-3.689557987,-13.58878158,7.720908308,-2.441871728,-17.01628296,0.504245953,-20.82914,-28.58130991
94251,left,31,1,1,PCollShock,33.66682666,35.51343993,24.27128959,21.46308196,-17.07443866,-4.389162958,9.430006293,5.799558467,13.90477149,-30.60776442,-26.27582055,-14.9218859,-32.95491065,-8.807082727,14.43870783,1.082382366,-1.394939277,22.15112791,17.24086144,-11.58437204,-38.94908311,22.29092299,-20.84791663,-26.05204118,57.01122926,-2.780888826,-5.024107074
