latency,type,epoch,Block,Include,pain,Freq_f1_t1_el1,Freq_f1_t1_el2,Freq_f1_t1_el3,Freq_f1_t2_el1,Freq_f1_t2_el2,Freq_f1_t2_el3,Freq_f1_t3_el1,Freq_f1_t3_el2,Freq_f1_t3_el3,Freq_f2_t1_el1,Freq_f2_t1_el2,Freq_f2_t1_el3,Freq_f2_t2_el1,Freq_f2_t2_el2,Freq_f2_t2_el3,Freq_f2_t3_el1,Freq_f2_t3_el2,Freq_f2_t3_el3,Freq_f3_t1_el1,Freq_f3_t1_el2,Freq_f3_t1_el3,Freq_f3_t2_el1,Freq_f3_t2_el2,Freq_f3_t2_el3,Freq_f3_t3_el1,Freq_f3_t3_el2,Freq_f3_t3_el3
1251,middle,1,1,1,nPCollNoShock,57.89365849,42.20616072,78.3948792,-1.813979958,-13.23912308,-18.60495273,-26.83424034,-36.16441712,-18.56701515,58.48370212,2.068902902,18.3888116,-38.01446825,-25.3737468,-33.53591692,-61.4486387,-48.62493158,-36.58683547,37.33242864,55.65989667,200.3197797,21.95714617,-3.34813042,147.0836564,-28.91416096,-14.87120381,130.0167402
4251,middle,2,1,1,nPCollNoShock,-33.27611054,-21.60176831,10.49207201,-27.72217072,-40.66536252,-13.90633809,-33.40574677,-52.29212651,-6.406837506,-45.29375778,-54.45124674,-51.92571574,-36.52145357,-44.72602339,-31.11988677,-12.20242356,-43.77123359,11.12950681,0.987385604,-24.59158673,162.3090114,-10.10772025,-33.7151066,104.2842493,-8.231166886,-22.30970019,81.37451626
7251,left,3,1,1,PCollShock,7.513713338,-5.592857295,19.87005869,88.64852826,27.2928253,18.58709163,-20.4303621,-42.59622762,-18.98004874,-20.50705859,-32.95641308,-1.804993913,-33.73777871,-32.59341113,-12.99912127,-48.19179295,-69.43131329,-43.05525814,-40.47582536,-17.514532,52.02754814,-49.52283688,-43.29523675,16.47512743,-26.34066006,-45.24906786,11.41400024
10251,right,4,1,1,PCollShock,-5.297654239,-33.87790266,-17.08227705,-21.02682811,-52.02644887,-24.14582763,-11.08960921,-9.226498374,39.77197641,-51.14995238,-41.92532249,-52.8019486,-57.73213059,-65.01564206,-49.92583392,-9.06463174,-31.40911792,-14.22850434,-15.64847634,-51.79536695,6.85660475,-28.34986032,-61.32560558,-6.726360408,-35.06720078,-41.51093928,22.00075941
13251,left,5,1,1,PCollShock,66.55533238,45.16827674,5.63996459,134.1841485,14.29139099,-15.6058103,-18.51857381,-19.53987938,-38.51848246,-46.02411117,-40.56403486,-55.46592903,-57.37896414,-72.33252021,-68.65638494,-37.02450226,-54.87099181,-53.07553193,-32.22857213,-53.78236833,-28.86064475,-35.29300681,-56.60393348,-19.92910769,-37.1532452,-43.74382051,-25.98705543
16251,right,6,1,1,PCollNoShock,-11.24578415,-21.11402052,-3.237696069,-55.03803366,-35.11829782,-54.68399489,-59.78277903,-45.70795008,-57.63467037,-56.39581234,-62.13679936,-55.47045802,-55.48933173,-61.5229263,-61.36025697,-70.75743157,-71.35562526,-60.38698202,-51.89157003,-46.96298431,7.73224915,-49.44499269,-46.17352636,-20.95340381,-39.4323601,-45.05571757,-19.81176243
19251,middle,7,1,1,nPCollNoShock,16.53538567,-25.51192936,-7.539870154,-17.31680286,-34.19509347,-23.05958607,-25.65891923,-11.22044103,-25.5156456,-20.73178519,-59.44099362,-61.18361754,-35.74690233,-47.60445451,-37.47840775,-51.636026,-58.6646615,-36.96667829,-43.28282198,-25.9356986,-24.97224778,-36.6802066,-46.22467563,-22.92112243,-43.83528269,-44.33832372,-25.39397963
22251,left,8,1,1,PCollShock,57.8478319,32.51601032,9.099407476,13.24817125,-23.9542897,-51.97750048,-21.64648227,-15.42252523,-48.98135346,-34.23384287,-39.38457538,-50.5384798,-51.25362611,-53.38418759,-75.28015758,-45.19012682,-58.90239341,-55.05907807,-37.6068602,-48.64087863,-30.24768581,-60.01663813,-50.9101379,-38.99675647,-19.8919858,-54.39650068,-11.05609845
25251,middle,9,1,1,nPCollNoShock,1.837876599,-23.76452986,5.707537749,10.2727307,-7.817152622,-21.41092397,-25.31741323,-24.08487853,-18.62876889,-24.39237432,-39.89007381,-43.72535118,-47.33018796,-62.10954594,-58.04526533,-48.33699242,-65.21308085,-52.79180319,-50.47429212,-26.85894095,-23.6807292,-52.65716351,-50.57914641,-31.55022979,-50.19787487,-50.50405716,-40.37732171
28251,right,10,1,1,PCollNoShock,42.55447801,-3.918580057,-10.33318817,-10.3565517,-37.52066054,1.161465427,43.29777588,-10.40900501,10.76389785,36.57152154,-35.18673955,-11.05360272,-54.52563411,-54.40384507,-43.79936693,-1.07015875,-23.92371748,-24.88991759,-30.2318656,-36.00309549,-12.5914691,-52.83396639,-46.89242505,-31.61348554,-51.52750975,-42.19435664,-10.62265344
