ID,lr,max_corr
2,0.5,-0.05707532502710205
3,0.971497057289842,0.10162477200448101
4,0.99,-0.08030550757083009
5,0.9899999999999999,0.09799787785459478
6,0.04318827804011487,0.10834353159579654
8,0.13285903598795748,-0.0148041734821413
9,0.01000000000000012,0.07367631598608033
10,0.06952041507853148,0.200925549656941
11,0.11998028703951806,0.05028208165299841
12,0.6177227933185709,0.09603270416606832
13,0.99,-0.03232330818619961
14,0.1717702309840199,0.40899861628922496
15,0.99,0.01656938075254847
16,0.99,-0.1794169523645048
17,0.99,-0.09114019158324346
19,0.11946964403127262,0.056568526053697735
20,0.9899999999999999,-0.04501627074613146
21,0.15339770509856038,-0.046010764447171566
22,0.99,-0.09272610735599207
24,0.99,-0.10942914467778939
25,0.99,-0.21059203110913716
26,0.42795298594499204,0.08966407103427035
27,0.13187485493757173,0.17910996908052843
28,0.99,-0.008836947329297316
29,0.99,-0.15906738985046054
30,0.99,0.02593088920069825
