ID,lr,max_corr
2,0.01973813585949018,0.14841787107663296
3,0.2966789518201702,-0.02891923380317057
4,0.3125088452432249,-0.05950880850666183
5,0.35642095272225943,0.1944169725798633
6,0.21566969706868333,0.07679128274401001
8,0.34699689108302945,0.1372730983461118
9,0.48472331350981596,-0.02746600648005018
10,0.8841114471805555,0.12434671386042513
11,0.21847592743045352,0.06564950360236321
12,0.017537304929300956,0.014749916210634297
13,0.32673597291839157,0.17735865618196353
14,0.7505133816846008,-0.2531743716120396
15,0.010000000000000009,-0.005565961190056784
16,0.10572954256908616,0.041062743285944975
17,0.99,-0.0232554771562741
19,0.03178232067265348,-0.022222025298600817
20,0.99,-0.03219186539318311
21,0.3759744322648041,0.14870315643473764
22,0.4774334767207019,0.20401705229918127
24,0.99,0.01708113280828455
25,0.3343381530237166,0.20584459749701703
26,0.6513243523143234,0.041515651069490025
27,0.021630893754554875,0.17205765134549722
28,0.3419429425253705,0.18976477866837832
29,0.22701638703452195,0.15714428439963773
30,0.09861494595914874,0.2548680444477063
